n_sq_ar,c_ar,c_arinsee,l_ar,Nb_demandes_terrasses,Surface_totale_terracces(m2),Perception_totale_terraces(euros),naissances_2013,n_pediatres,prix_m2_appart,pop_2019,n_musees,taux_chomage,part_log_sociaux,revenu_median,superficie_km2,densite_pop_km2,part_moins_20ans,part_plus_65ans,n_ecoles_primaires,part_diplomes_sup
750000001,1,75101,1er Ardt,288,"7,145.39",1017910,11.50,0,"13,368","16,055",7,7.2,1.2,3820,1.83,8773,14.2,18.2,4,58.2
750000002,2,75102,2ème Ardt,330,"6,803.36",730715.9,11.10,0,"12,444","21,735",1,8.1,2.4,3250,0.99,21955,15.8,16.4,5,52.4
750000003,3,75103,3ème Ardt,216,"4,837.32",446711.1,11.80,5,"12,867","34,306",9,9.3,4.1,2980,1.17,29321,16.9,14.8,7,48.3
750000004,4,75104,4ème Ardt,304,"7,733.16",1068921,10.30,4,"13,819","29,390",10,8.6,3.8,3100,1.6,18369,15.2,15.2,7,50.1
750000005,5,75105,5ème Ardt,331,"6,320.50",755623.1,8.30,6,"13,136","58,897",9,9.0,2.9,3040,2.54,23188,17.3,16.1,9,62.8
750000006,6,75106,6ème Ardt,282,"6,294.25",824547.2,8.40,4,"15,255","41,171",14,7.8,1.8,3890,2.15,19149,14.1,20.3,7,66.4
750000007,7,75107,7ème Ardt,196,"3,869.24",462108,8.70,7,"14,776","49,681",15,8.2,3.2,3760,4.09,12147,15.6,21.8,9,64.9
750000008,8,75108,8ème Ardt,349,"6,765.70",995999.8,11.50,8,"12,553","36,250",9,9.5,2.1,3520,3.88,9343,15.9,18.9,8,54.2
750000009,9,75109,9ème Ardt,453,"7,800.08",821334.7,14.20,8,"11,833","60,563",7,11.2,5.3,2840,2.18,27781,18.2,14.2,11,46.8
750000010,10,75110,10ème Ardt,382,"8,526.27",724228.5,14.80,8,"10,970","86,863",3,13.4,12.4,2310,2.89,30056,21.3,11.3,14,38.2
750000011,11,75111,11ème Ardt,635,"12,279.49",1185345,12.90,18,"11,249","146,028",3,14.1,8.6,2180,3.67,39790,22.4,11.8,20,35.6
750000012,12,75112,12ème Ardt,260,"7,087.37",752094.1,13.80,17,"10,296","140,237",3,11.8,18.2,2290,16.3,8603,20.8,14.2,18,38.9
750000013,13,75113,13ème Ardt,212,"5,271.43",537643.2,11.30,15,"9,858","181,233",4,13.9,22.3,2050,7.15,25347,22.1,13.6,21,36.2
750000014,14,75114,14ème Ardt,276,"5,994.48",762921,11.90,19,"10,712","136,568",3,11.6,14.7,2380,5.62,24300,19.8,16.8,17,40.8
750000015,15,75115,15ème Ardt,315,"6,623.36",674504.9,12.60,28,"10,891","232,668",3,10.8,16.9,2420,8.48,27437,21.6,15.9,24,39.4
750000016,16,75116,16ème Ardt,235,"6,238.79",730457.9,9.90,27,"12,005","167,777",19,8.9,5.8,3680,16.3,10293,17.2,22.4,17,61.2
750000017,17,75117,17ème Ardt,395,"7,113.65",717620.3,14.20,18,"11,656","167,975",3,11.3,10.2,2560,5.67,29625,20.4,16.2,19,44.8
750000018,18,75118,18ème Ardt,415,"8,483.73",803784.8,15.30,8,"10,762","193,288",4,15.2,19.8,1980,6.01,32161,23.8,11.9,22,31.8
750000019,19,75119,19ème Ardt,190,"5,785.17",532040.2,15.60,8,"9,433","185,571",4,16.1,24.1,1870,6.79,27330,26.2,10.8,20,28.4
750000020,20,75120,20ème Ardt,208,"6,126.42",484278.8,14.40,9,"9,807","195,918",0,15.8,20.6,1920,5.98,32762,24.9,11.2,21,29.8
